Date;Close;Open;High;Low;Volume;Adj Close
04/22/2020;100.39;100.21;100.50;99.90;;100.39
04/21/2020;100.26;99.94;100.48;99.93;;100.26
04/20/2020;99.96;99.71;100.07;99.65;;99.96
04/17/2020;99.78;99.86;100.29;99.62;;99.78
04/16/2020;100.03;99.63;100.30;99.61;;100.03
04/15/2020;99.46;98.82;99.98;98.82;;99.46
04/14/2020;98.89;99.38;99.43;98.82;;98.89
04/13/2020;99.35;99.49;99.63;99.14;;99.35
04/10/2020;99.52;99.58;99.63;99.36;;99.52
04/09/2020;99.52;100.13;100.30;99.36;;99.52
04/08/2020;100.12;99.91;100.43;99.90;;100.12
04/07/2020;99.90;100.75;100.79;99.77;;99.90
04/06/2020;100.68;100.66;100.93;100.47;;100.68
04/03/2020;100.58;100.20;100.85;100.14;;100.58
04/02/2020;100.18;99.51;100.41;99.33;;100.18
04/01/2020;99.67;99.01;99.84;98.91;;99.67
03/31/2020;99.05;99.25;99.95;98.89;;99.05
03/30/2020;99.18;98.31;99.32;98.29;;99.18
03/27/2020;98.36;99.29;99.81;98.27;;98.36
03/26/2020;99.35;100.96;101.02;99.24;;99.35
03/25/2020;101.05;101.60;101.91;100.84;;101.05
03/24/2020;102.04;102.13;102.21;101.05;;102.04
03/23/2020;102.49;101.95;102.98;101.65;;102.49
03/20/2020;102.82;102.94;102.99;101.09;;102.82
03/19/2020;102.75;100.79;102.94;100.77;;102.75
03/18/2020;101.16;99.38;101.74;99.15;;101.16
03/17/2020;99.57;98.14;99.83;97.98;;99.57
03/16/2020;98.07;98.70;98.70;97.45;;98.07
03/13/2020;98.75;97.45;98.81;97.33;;98.75
03/12/2020;97.47;96.65;98.31;96.08;;97.47
03/11/2020;96.51;96.33;96.69;95.91;;96.51
03/10/2020;96.41;95.34;96.58;95.23;;96.41
03/09/2020;94.89;96.11;95.79;94.65;;94.89
03/06/2020;95.95;96.61;96.70;95.71;;95.95
03/05/2020;96.82;97.38;97.44;96.51;;96.82
03/04/2020;97.34;97.17;97.59;97.12;;97.34
03/03/2020;97.15;97.56;97.69;96.98;;97.15
03/02/2020;97.36;98.12;98.12;97.18;;97.36
02/28/2020;98.13;98.42;98.66;97.96;;98.13
02/27/2020;98.51;99.02;99.05;98.36;;98.51
02/26/2020;99.00;99.08;99.27;98.91;;99.00
02/25/2020;98.97;99.33;99.39;98.88;;98.97
02/24/2020;99.36;99.34;99.64;99.11;;99.36
02/21/2020;99.26;99.86;99.87;99.23;;99.26
02/20/2020;99.86;99.54;99.91;99.53;;99.86
02/19/2020;99.71;99.43;99.72;99.38;;99.71
02/18/2020;99.44;99.19;99.47;99.14;;99.44
02/17/2020;99.00;99.16;99.21;99.00;;99.00
02/14/2020;99.12;99.12;99.17;99.00;;99.12
02/13/2020;99.07;98.99;99.11;98.85;;99.07
02/12/2020;99.05;98.77;99.05;98.71;;99.05
02/11/2020;98.72;98.86;98.95;98.71;;98.72
02/10/2020;98.83;98.70;98.88;98.60;;98.83
02/07/2020;98.68;98.46;98.72;98.42;;98.68
02/06/2020;98.50;98.29;98.57;98.21;;98.50
02/05/2020;98.30;97.94;98.32;97.90;;98.30
02/04/2020;97.96;97.82;98.01;97.79;;97.96
02/03/2020;97.80;97.37;97.89;97.37;;97.80
01/31/2020;97.39;97.87;97.97;97.35;;97.39
01/30/2020;97.87;98.03;98.07;97.79;;97.87
01/29/2020;97.99;97.95;98.19;97.94;;97.99
01/28/2020;98.02;97.95;98.16;97.90;;98.02
01/27/2020;97.96;97.88;98.00;97.78;;97.96
01/24/2020;97.85;97.72;97.95;97.67;;97.85
01/23/2020;97.69;97.48;97.80;97.43;;97.69
01/22/2020;97.53;97.62;97.69;97.44;;97.53
01/21/2020;97.53;97.63;97.66;97.39;;97.53
01/20/2020;97.61;97.64;97.73;97.58;;97.61
01/17/2020;97.64;97.30;97.66;97.27;;97.64
01/16/2020;97.32;97.18;97.36;97.08;;97.32
01/15/2020;97.23;97.38;97.44;97.16;;97.23
01/14/2020;97.37;97.36;97.56;97.33;;97.37
01/13/2020;97.34;97.35;97.53;97.31;;97.34
01/10/2020;97.36;97.43;97.58;97.30;;97.36
01/09/2020;97.45;97.27;97.56;97.25;;97.45
01/08/2020;97.30;96.83;97.35;96.82;;97.30
01/07/2020;97.00;96.65;97.09;96.62;;97.00
01/06/2020;96.67;96.90;96.90;96.54;;96.67
01/03/2020;96.84;96.79;97.11;96.71;;96.84
01/02/2020;96.85;96.48;96.87;96.42;;96.85
01/01/2020;96.39;96.50;97.10;96.39;;96.39
12/31/2019;96.39;96.73;96.73;96.36;;96.39
12/30/2019;96.74;97.02;97.02;96.61;;96.74
12/27/2019;96.92;97.54;97.55;96.92;;96.92
12/26/2019;97.53;97.62;97.71;97.49;;97.53
